Place,TravelCost,StayCost,SightseeingCost,TotalCost
Sanchi,7428,7554,2869,17851
Chitrakoot,1615,3700,1035,6350
Bodh Gaya,8784,3802,1131,13717
Ranthambore,4733,3428,4219,12380
Nalanda,6916,10703,717,18336
Pondicherry,9744,2757,1942,14443
Bangalore,8758,1513,3946,14217
Satara,6544,1840,4684,13068
Nashik,1127,3595,805,5527
Jorhat,8297,2887,2689,13873
Andaman,9655,2415,1448,13518
Alleppey,4035,10179,3763,17977
Roing,6581,5069,3232,14882
Aizawl,3415,5274,809,9498
Sanchi,1947,4829,1202,7978
Cherrapunji,8234,4641,1533,14408
Itanagar,8069,7682,4378,20129
Nainital,8749,1549,2470,12768
Zemithang,5754,11988,2289,20031
Amritsar,7542,9474,4478,21494
Delhi,8581,5910,2724,17215
Indore,4200,2795,1822,8817
Delhi,9576,4802,3479,17857
Gwalior,4006,8336,2047,14389
Gangtok,4119,4221,2802,11142
Kanyakumari,4752,10436,3316,18504
Pelling,4543,7318,2030,13891
Ratnagiri,1601,8943,3319,13863
Solapur,6234,10517,4032,20783
Puri,3306,10506,3282,17094
Bangalore,1151,4086,1905,7142
Mount Abu,9584,6028,1890,17502
Jabalpur,6650,3659,1786,12095
Kalimpong,4334,2474,4755,11563
Kanyakumari,2627,8577,3637,14841
Delhi,8654,7415,895,16964
Coorg,7518,11578,2126,21222
Bikaner,8337,9295,3643,21275
Bikaner,1460,8155,1658,11273
Mawsynram,2705,3545,749,6999
Ajanta,3219,5364,1702,10285
Zemithang,5761,10207,4192,20160
Pasighat,9280,1846,2485,13611
Satara,4955,9873,4078,18906
Mahabalipuram,6630,10462,3311,20403
Mount Abu,5754,11437,886,18077
Chennai,6990,1635,2580,11205
Kolhapur,4149,9941,3689,17779
Munnar,8233,2336,3166,13735
Solapur,8876,9848,3970,22694
Rajasthan,6259,4215,4155,14629
Mount Abu,4129,11488,2643,18260
Rourkela,7702,6803,1539,16044
Chitrakoot,8330,10606,4638,23574
Kovalam,7579,1753,2977,12309
Darjeeling,9438,5443,1685,16566
Aurangabad,1423,9586,4197,15206
Sikkim,9252,3676,2346,15274
Shirdi,8182,5595,930,14707
Agra,1926,7718,2414,12058
Daman,4541,7518,4961,17020
Itanagar,3429,11835,506,15770
Mahabalipuram,3165,8464,4046,15675
Chennai,7866,1582,1893,11341
Jabalpur,1502,11199,1421,14122
Bhubaneswar,6208,4754,3545,14507
Rourkela,7695,1821,4798,14314
Pondicherry,7412,2666,1200,11278
Lakshadweep,6649,10176,1105,17930
Alibag,1190,7841,2285,11316
Lakshadweep,7297,4497,3072,14866
Mussoorie,3884,6340,4820,15044
Orchha,6717,1635,3291,11643
Hyderabad,8569,6956,4989,20514
Ooty,5457,6336,737,12530
Ratnagiri,3744,9539,1577,14860
Leh,6575,9028,1781,17384
Bhopal,3957,8819,3938,16714
Daman,8001,1689,2258,11948
Kanyakumari,3321,9151,3714,16186
Chittorgarh,4333,6863,4966,16162
Alleppey,4724,7540,668,12932
Kalimpong,1749,2964,2036,6749
Cuttack,8156,7594,1098,16848
Andaman,7058,6328,2600,15986
Kolkata,4612,4453,3316,12381
Amarkantak,8014,2501,3610,14125
Coorg,4007,11644,3198,18849
Puri,1962,3342,764,6068
Indore,4965,1774,4541,11280
Manali,6880,8483,1507,16870
Bhopal,8457,7559,2351,18367
Amritsar,7978,7073,2173,17224
Gwalior,7893,11414,2934,22241
Guwahati,8121,2797,3040,13958
Roing,3619,7443,2043,13105
Patna,6582,9637,3912,20131
Nainital,3947,9792,1824,15563
Mahabalipuram,3132,4471,2574,10177
Mahabalipuram,8626,4121,982,13729
Andaman,4980,8243,647,13870
Sikkim,5592,11996,3452,21040
Majuli,2102,6949,4471,13522
Cherrapunji,6629,10462,4918,22009
Alibag,8626,2173,3673,14472
Alleppey,5234,3767,1364,10365
Goa,5562,7421,850,13833
Khandala,5336,7165,2590,15091
Delhi,1362,8844,3286,13492
Shirdi,7410,4281,4272,15963
Daman,4963,9983,796,15742
Amritsar,3154,3346,3936,10436
Manali,9698,10740,1102,21540
Diu,9798,4315,3463,17576
Roing,6751,8506,800,16057
Ranthambore,5393,5193,3381,13967
Aizawl,5758,4189,4948,14895
Coorg,8887,8673,3456,21016
Pune,3212,2563,860,6635
Indore,7470,10674,3751,21895
Kolhapur,7154,5323,3695,16172
Lonavala,8214,7949,3410,19573
Ranthambore,6767,11624,2521,20912
Bomdila,8800,6155,4186,19141
Amritsar,5128,10313,1345,16786
Mawsynram,9499,3280,2631,15410
Aurangabad,7613,10105,1229,18947
Udaipur,2605,11073,678,14356
Mussoorie,3439,2232,4999,10670
Hampi,6488,6776,2720,15984
Nagpur,6879,6571,979,14429
Cherrapunji,7689,1927,3245,12861
Rourkela,8715,3847,3651,16213
Cherrapunji,9141,5897,1357,16395
Shillong,6493,7266,1025,14784
Bundi,3173,5651,3716,12540
Majuli,6859,11499,2981,21339
Rajgir,9784,4772,4067,18623
Khonsa,1386,11906,4940,18232
Tezpur,6228,8209,1508,15945
Khajuraho,9987,7014,3596,20597
Indore,6742,5018,4633,16393
Nagpur,2886,11394,2951,17231
Mumbai,7972,9421,1327,18720
Delhi,6031,6069,3951,16051
Pondicherry,4583,3248,3074,10905
Rishikesh,2491,8318,3611,14420
Chitrakoot,9399,6324,1577,17300
Along,7009,9306,3790,20105
Tawang,3290,7078,3178,13546
Coorg,1562,5149,4209,10920
Bangalore,6774,8473,2024,17271
Zemithang,3003,11715,2958,17676
Varanasi,5899,7881,2425,16205
Jabalpur,9512,8178,860,18550
Jabalpur,9179,6116,4041,19336
Leh,2918,3897,2913,9728
Cuttack,8781,9084,1325,19190
Jaisalmer,9306,5949,1753,17008
Nagpur,9652,9619,3317,22588
Munnar,2923,2112,3631,8666
Kodaikanal,3240,8965,2321,14526
Sanchi,8519,4872,1394,14785
Rishikesh,9934,2843,3140,15917
Imphal,8858,2052,3892,14802
Tezpur,2458,10975,1940,15373
Sanchi,4963,3358,1697,10018
Pasighat,7569,5551,1422,14542
Bundi,3708,2603,3142,9453
Jabalpur,4509,6623,506,11638
Rajasthan,8664,4206,2727,15597
Nashik,8395,2817,1011,12223
Ellora,2017,1709,3308,7034
Mawsynram,1902,1901,4935,8738
Tuting,2909,8325,3947,15181
Manali,6431,2242,1402,10075
Gwalior,3087,8630,4275,15992
Itanagar,3399,10611,4655,18665
Shimla,1674,11741,4790,18205
Hampi,6180,2172,4115,12467
Gangtok,5866,2209,2171,10246
