Sr No.,State,Sightseeing Place,Hotel Name,Budget,Check-in Date,Check-out Date,Ratings
1,Andhra Pradesh,Charminar,Heritage Hotel AND,4464,2025-10-11,2025-10-13,4.0
2,Andhra Pradesh,Charminar,Heritage Hotel AND,2698,2025-09-16,2025-09-21,4.0
3,Andhra Pradesh,Charminar,Grand Palace AND,6683,2025-12-20,2025-12-22,3.2
4,Andhra Pradesh,Charminar,Elite Residency AND,5884,2026-01-28,2026-01-31,3.3
5,Andhra Pradesh,Charminar,Luxury Stay AND,6553,2025-06-01,2025-06-06,4.2
6,Andhra Pradesh,Charminar,Heritage Hotel AND,3733,2026-01-30,2026-02-04,4.9
7,Andhra Pradesh,Charminar,Royal Inn AND,9992,2025-04-26,2025-04-28,4.1
8,Andhra Pradesh,Charminar,Grand Palace AND,6572,2025-06-23,2025-06-29,3.7
9,Andhra Pradesh,Charminar,Elite Residency AND,2325,2025-11-01,2025-11-07,4.3
10,Andhra Pradesh,Charminar,Royal Inn AND,7917,2025-10-13,2025-10-18,3.1
11,Andhra Pradesh,Charminar,Royal Inn AND,1018,2026-01-13,2026-01-14,4.1
12,Andhra Pradesh,Charminar,Heritage Hotel AND,3623,2026-01-17,2026-01-20,3.7
13,Andhra Pradesh,Charminar,Luxury Stay AND,1755,2025-06-20,2025-06-24,3.1
14,Andhra Pradesh,Charminar,Luxury Stay AND,6757,2025-05-28,2025-05-29,4.6
15,Andhra Pradesh,Charminar,Luxury Stay AND,5992,2025-04-22,2025-04-28,4.0
16,Andhra Pradesh,Charminar,Luxury Stay AND,6115,2025-04-02,2025-04-07,4.7
17,Andhra Pradesh,Charminar,Elite Residency AND,1286,2025-08-02,2025-08-09,4.3
18,Andhra Pradesh,Charminar,Heritage Hotel AND,1733,2025-12-11,2025-12-14,3.9
19,Andhra Pradesh,Charminar,Luxury Stay AND,2037,2025-07-16,2025-07-22,4.8
20,Andhra Pradesh,Charminar,Grand Palace AND,5275,2025-05-16,2025-05-23,3.1
21,Andhra Pradesh,Charminar,Royal Inn AND,5951,2026-03-16,2026-03-19,4.1
22,Andhra Pradesh,Charminar,Elite Residency AND,2289,2025-05-10,2025-05-11,3.3
23,Andhra Pradesh,Charminar,Grand Palace AND,6239,2025-07-15,2025-07-16,3.4
24,Andhra Pradesh,Charminar,Heritage Hotel AND,7587,2026-02-05,2026-02-07,3.4
25,Andhra Pradesh,Charminar,Royal Inn AND,2930,2025-07-14,2025-07-16,3.0
26,Andhra Pradesh,Charminar,Luxury Stay AND,8712,2025-12-15,2025-12-16,3.7
27,Andhra Pradesh,Charminar,Luxury Stay AND,1850,2026-02-26,2026-03-03,4.5
28,Andhra Pradesh,Charminar,Elite Residency AND,9280,2026-03-25,2026-03-28,4.4
29,Andhra Pradesh,Charminar,Heritage Hotel AND,2358,2026-01-24,2026-01-31,4.2
30,Andhra Pradesh,Charminar,Heritage Hotel AND,1835,2026-02-17,2026-02-20,3.0
31,Andhra Pradesh,Charminar,Royal Inn AND,8067,2025-08-03,2025-08-04,4.6
32,Andhra Pradesh,Charminar,Elite Residency AND,2541,2025-11-17,2025-11-21,3.3
33,Andhra Pradesh,Charminar,Elite Residency AND,2474,2025-05-13,2025-05-17,3.2
34,Andhra Pradesh,Charminar,Grand Palace AND,6878,2025-11-21,2025-11-26,4.5
35,Andhra Pradesh,Charminar,Heritage Hotel AND,9708,2026-01-12,2026-01-19,4.1
36,Andhra Pradesh,Charminar,Luxury Stay AND,1775,2025-05-17,2025-05-20,4.2
37,Andhra Pradesh,Charminar,Elite Residency AND,9411,2025-05-31,2025-06-02,3.3
38,Andhra Pradesh,Charminar,Royal Inn AND,9915,2025-11-24,2025-11-27,3.6
39,Andhra Pradesh,Charminar,Royal Inn AND,8056,2026-01-29,2026-01-31,4.1
40,Andhra Pradesh,Charminar,Royal Inn AND,4577,2025-12-16,2025-12-23,3.0
41,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,5940,2025-07-11,2025-07-15,3.5
42,Andhra Pradesh,Ramoji Film City,Grand Palace AND,6885,2025-10-29,2025-11-03,4.1
43,Andhra Pradesh,Ramoji Film City,Royal Inn AND,2210,2025-07-14,2025-07-21,4.3
44,Andhra Pradesh,Ramoji Film City,Elite Residency AND,5799,2026-01-04,2026-01-07,4.0
45,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,1153,2025-08-30,2025-08-31,4.2
46,Andhra Pradesh,Ramoji Film City,Royal Inn AND,5144,2026-02-19,2026-02-22,3.6
47,Andhra Pradesh,Ramoji Film City,Royal Inn AND,8116,2025-10-20,2025-10-26,3.2
48,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,7720,2026-01-03,2026-01-05,3.3
49,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,5216,2025-07-24,2025-07-31,4.1
50,Andhra Pradesh,Ramoji Film City,Grand Palace AND,3239,2025-04-12,2025-04-13,3.7
51,Andhra Pradesh,Ramoji Film City,Royal Inn AND,1642,2026-02-24,2026-02-27,4.2
52,Andhra Pradesh,Ramoji Film City,Elite Residency AND,8248,2025-12-19,2025-12-22,3.4
53,Andhra Pradesh,Ramoji Film City,Elite Residency AND,3593,2025-06-19,2025-06-22,3.2
54,Andhra Pradesh,Ramoji Film City,Royal Inn AND,4815,2025-10-15,2025-10-17,4.5
55,Andhra Pradesh,Ramoji Film City,Royal Inn AND,5808,2025-04-04,2025-04-06,3.3
56,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,3865,2025-12-08,2025-12-14,3.1
57,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,3389,2025-07-05,2025-07-06,3.0
58,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,6900,2026-03-23,2026-03-25,3.7
59,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,1699,2025-08-03,2025-08-04,3.6
60,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,1705,2025-04-06,2025-04-10,4.5
61,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,1872,2025-12-17,2025-12-22,3.5
62,Andhra Pradesh,Ramoji Film City,Grand Palace AND,4685,2026-02-25,2026-03-03,3.8
63,Andhra Pradesh,Ramoji Film City,Elite Residency AND,4899,2025-08-27,2025-09-03,3.3
64,Andhra Pradesh,Ramoji Film City,Grand Palace AND,6380,2025-08-10,2025-08-16,4.3
65,Andhra Pradesh,Ramoji Film City,Grand Palace AND,6870,2025-11-09,2025-11-13,3.1
66,Andhra Pradesh,Ramoji Film City,Royal Inn AND,7781,2025-06-21,2025-06-22,5.0
67,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,9391,2026-02-14,2026-02-17,4.3
68,Andhra Pradesh,Ramoji Film City,Royal Inn AND,1475,2025-10-16,2025-10-22,4.1
69,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,1897,2025-10-07,2025-10-13,3.4
70,Andhra Pradesh,Ramoji Film City,Grand Palace AND,2620,2025-12-01,2025-12-05,4.7
71,Andhra Pradesh,Ramoji Film City,Royal Inn AND,9336,2025-07-12,2025-07-15,4.5
72,Andhra Pradesh,Ramoji Film City,Grand Palace AND,5378,2026-03-29,2026-04-04,4.9
73,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,3364,2025-11-15,2025-11-21,4.1
74,Andhra Pradesh,Ramoji Film City,Heritage Hotel AND,7654,2025-06-02,2025-06-05,4.8
75,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,7629,2025-08-14,2025-08-21,4.4
76,Andhra Pradesh,Ramoji Film City,Royal Inn AND,3072,2026-03-18,2026-03-19,4.2
77,Andhra Pradesh,Ramoji Film City,Royal Inn AND,8233,2025-12-08,2025-12-10,4.5
78,Andhra Pradesh,Ramoji Film City,Royal Inn AND,7524,2026-01-18,2026-01-19,4.9
79,Andhra Pradesh,Ramoji Film City,Elite Residency AND,3848,2026-03-18,2026-03-19,4.8
80,Andhra Pradesh,Ramoji Film City,Luxury Stay AND,1416,2025-08-31,2025-09-05,3.1
81,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,6031,2025-11-03,2025-11-06,4.9
82,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,5082,2025-09-10,2025-09-11,4.1
83,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,1243,2025-06-11,2025-06-16,4.1
84,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,7877,2026-02-03,2026-02-07,4.5
85,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,5460,2026-03-19,2026-03-21,3.3
86,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,8336,2025-12-10,2025-12-13,5.0
87,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,2838,2025-11-18,2025-11-22,4.9
88,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,9556,2025-12-06,2025-12-11,4.6
89,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,9441,2025-08-07,2025-08-09,3.6
90,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,9966,2025-04-21,2025-04-26,5.0
91,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,1653,2025-04-04,2025-04-10,3.8
92,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,2304,2025-11-20,2025-11-22,4.9
93,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,2588,2025-06-15,2025-06-18,4.8
94,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,8766,2025-09-20,2025-09-27,3.1
95,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,4755,2025-05-11,2025-05-18,3.1
96,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,1619,2025-04-09,2025-04-15,4.6
97,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,7471,2025-06-25,2025-06-30,3.5
98,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,7222,2026-01-29,2026-02-05,3.5
99,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,1353,2026-02-28,2026-03-05,3.5
100,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,9909,2025-05-01,2025-05-08,3.0
101,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,8692,2026-03-11,2026-03-17,4.5
102,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,6682,2026-03-27,2026-03-30,3.1
103,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,8561,2026-03-21,2026-03-25,3.5
104,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,6038,2026-02-17,2026-02-18,5.0
105,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,9000,2025-05-30,2025-06-02,3.0
106,Arunachal Pradesh,Tawang Monastery,Royal Inn ARU,2604,2025-08-25,2025-08-27,4.5
107,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,2138,2025-11-12,2025-11-13,4.4
108,Arunachal Pradesh,Tawang Monastery,Royal Inn ARU,6810,2025-12-26,2025-12-27,3.7
109,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,7974,2025-11-01,2025-11-02,3.9
110,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,1348,2025-10-29,2025-10-31,3.3
111,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,9846,2025-04-28,2025-04-30,3.9
112,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,7989,2026-03-28,2026-04-01,4.2
113,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,9368,2025-04-08,2025-04-12,4.1
114,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,9411,2025-05-24,2025-05-26,3.7
115,Arunachal Pradesh,Tawang Monastery,Royal Inn ARU,9515,2025-06-18,2025-06-22,4.0
116,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,8672,2026-02-08,2026-02-11,4.2
117,Arunachal Pradesh,Tawang Monastery,Elite Residency ARU,2443,2025-07-03,2025-07-10,3.2
118,Arunachal Pradesh,Tawang Monastery,Grand Palace ARU,3050,2025-09-16,2025-09-18,3.8
119,Arunachal Pradesh,Tawang Monastery,Heritage Hotel ARU,2760,2026-02-08,2026-02-12,4.1
120,Arunachal Pradesh,Tawang Monastery,Luxury Stay ARU,5570,2025-06-11,2025-06-15,4.9
121,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,8041,2025-11-27,2025-12-04,4.3
122,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,9976,2026-03-25,2026-03-26,4.1
